,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapaa,US,75.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Itarema,BR,88.79,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
7,Mahibadhoo,MV,82.33,overcast clouds,3.7833,72.9667,Omadhoo Inn
9,Nabire,ID,76.37,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
12,Isangel,VU,75.6,few clouds,-19.55,169.2667,Tanna Lodge
15,Sola,VU,79.52,few clouds,-13.8833,167.55,Leumerus Bungalows
19,Cabo San Lucas,MX,84.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
28,Kumluca,TR,87.31,clear sky,36.3703,30.2869,Akkol Apart
32,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
36,Coahuayana,MX,81.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
37,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
43,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
48,Frontera,MX,76.32,few clouds,26.9333,-101.45,Fiesta Inn Monclova
52,Najran,SA,86.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
54,Atuona,PF,75.24,light rain,-9.8,-139.0333,Villa Enata
55,Bengkulu,ID,76.75,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
62,Pochutla,MX,84.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
64,Marsh Harbour,BS,82.2,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
73,Kampot,KH,78.85,moderate rain,10.6167,104.1833,Two Moons Hotel
75,Tarauaca,BR,87.89,scattered clouds,-8.1614,-70.7656,Flat Temporada
77,Alofi,NU,75.31,light rain,-19.0595,-169.9187,Taloa Heights
83,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
88,Sumbe,AO,75.63,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
97,Butaritari,KI,81.28,light rain,3.0707,172.7902,Isles Sunset Lodge
103,Todos Santos,MX,83.3,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
104,Ciudad Bolivar,VE,88.84,overcast clouds,8.1222,-63.5497,Hotel Edi
107,Santa Cruz,BO,82.45,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
111,Hilo,US,75.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
113,Ransang,PH,79.47,few clouds,8.9603,117.5828,Black and Crystal Sand Campsite
116,Jutai,BR,87.53,overcast clouds,-5.1833,-68.9,
119,Adrar,MR,89.58,clear sky,20.5022,-10.0711,
121,Macia,MZ,81.81,clear sky,-25.0269,33.0989,Hotel Taskin Macia
122,Barra Patuca,HN,80.91,overcast clouds,15.8,-84.2833,
126,Manggar,ID,80.76,broken clouds,-2.8833,108.2667,Guest Hotel
131,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
133,Hambantota,LK,80.06,overcast clouds,6.1241,81.1185,Bungalow 63
135,Abomey,BJ,76.8,overcast clouds,7.1829,1.9912,Residence Hotel Marie Emmanuella
136,Looc,PH,79.92,overcast clouds,12.2605,121.9926,Cummings Highlands
137,Buala,SB,79.36,light rain,-8.145,159.5921,Maringe Lagoon Lodge
139,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
142,Farah,AF,77.11,clear sky,32.5,62.5,
149,Bonthe,SL,80.96,moderate rain,7.5264,-12.505,Bonthe Holiday Village
153,Kavieng,PG,81.28,light rain,-2.5744,150.7967,Nusa Island Retreat
