,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bansko,BG,41.8383,23.4885,65.75,100,66,2.15,broken clouds
1,Taoudenni,ML,22.6783,-3.9836,100.53,12,0,5.44,clear sky
2,Cherskiy,RU,68.75,161.3,29.61,98,100,1.09,light snow
3,Kaitangata,NZ,-46.2817,169.8464,36.66,92,11,1.43,few clouds
4,Kapaa,US,22.0752,-159.319,75.18,92,75,2.57,moderate rain
5,Yellowknife,CA,62.456,-114.3525,44.56,100,100,1.79,overcast clouds
6,Itarema,BR,-2.9248,-39.9167,88.79,50,30,8.51,scattered clouds
7,Mahibadhoo,MV,3.7833,72.9667,82.33,76,90,8.47,overcast clouds
8,Khatanga,RU,71.9667,102.5,29.93,97,100,6.76,light snow
9,Nabire,ID,-3.3667,135.4833,76.37,90,86,1.37,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,46.51,53,40,12.35,scattered clouds
11,Bluff,NZ,-46.6,168.3333,41.38,83,34,2.43,scattered clouds
12,Isangel,VU,-19.55,169.2667,75.6,89,23,3.03,few clouds
13,Mataura,NZ,-46.1927,168.8643,32.99,99,10,0.88,clear sky
14,Norman Wells,CA,65.282,-126.8329,44.64,87,100,3.6,overcast clouds
15,Sola,VU,-13.8833,167.55,79.52,78,15,3.7,few clouds
16,Ushuaia,AR,-54.8,-68.3,46.02,61,75,12.86,broken clouds
17,Kayerkan,RU,69.3497,87.7602,28.53,100,100,4.27,overcast clouds
18,Saldanha,ZA,-33.0117,17.9442,61.81,70,100,8.94,overcast clouds
19,Cabo San Lucas,MX,22.8909,-109.9124,84.51,71,40,2.06,scattered clouds
20,Busselton,AU,-33.65,115.3333,55.63,83,38,7.12,scattered clouds
21,Upernavik,GL,72.7868,-56.1549,22.53,79,29,2.4,scattered clouds
22,Mucurapo,TT,10.6667,-61.5333,90.25,62,95,0.45,overcast clouds
23,Struer,DK,56.4912,8.5838,59.11,77,100,4.77,overcast clouds
24,East London,ZA,-33.0153,27.9116,65.34,82,0,3.6,clear sky
25,Provideniya,RU,64.3833,-173.3,37.67,84,84,7.52,broken clouds
26,Hamilton,US,39.1834,-84.5333,64.11,60,0,7.2,clear sky
27,Avarua,CK,-21.2078,-159.775,69.85,68,100,2.06,overcast clouds
28,Kumluca,TR,36.3703,30.2869,87.31,45,0,1.7,clear sky
29,Barrow,US,71.2906,-156.7887,26.62,86,100,6.69,overcast clouds
30,Tornio,FI,65.8481,24.1466,44.62,82,63,2.07,broken clouds
31,Aksarka,RU,66.5606,67.7975,30.99,69,72,5.66,broken clouds
32,Inhambane,MZ,-23.865,35.3833,78.78,78,20,4.12,few clouds
33,Roald,NO,62.5833,6.1333,61.72,82,75,2.06,light rain
34,Huarmey,PE,-10.0681,-78.1522,66.83,74,59,5.02,broken clouds
35,Nanortalik,GL,60.1432,-45.2371,41.02,76,100,3.64,overcast clouds
36,Coahuayana,MX,18.7333,-103.6833,81.28,68,83,0.85,broken clouds
37,Hithadhoo,MV,-0.6,73.0833,81.84,72,96,5.71,overcast clouds
38,Cape Town,ZA,-33.9258,18.4232,67.87,59,0,7.72,clear sky
39,Kruisfontein,ZA,-34.0033,24.7314,64.89,63,50,4.78,scattered clouds
40,Krasnyy Oktyabr,RU,56.1167,38.8833,55.02,98,91,2.13,overcast clouds
41,Pisco,PE,-13.7,-76.2167,66.25,63,0,3.6,clear sky
42,Clyde River,CA,70.4692,-68.5914,32.23,64,0,9.26,clear sky
43,Georgetown,MY,5.4112,100.3354,78.89,87,20,0.0,few clouds
44,Hermanus,ZA,-34.4187,19.2345,68.81,66,100,4.65,overcast clouds
45,Rikitea,PF,-23.1203,-134.9692,73.65,71,68,4.14,broken clouds
46,Bredasdorp,ZA,-34.5322,20.0403,63.48,54,100,5.33,overcast clouds
47,Slave Lake,CA,55.2834,-114.769,46.38,100,100,2.06,fog
48,Frontera,MX,26.9333,-101.45,76.32,43,12,0.56,few clouds
49,New Norfolk,AU,-42.7826,147.0587,44.71,66,9,1.38,clear sky
50,Albany,US,42.6001,-73.9662,54.68,78,100,1.37,overcast clouds
51,Nome,US,64.5011,-165.4064,33.87,75,0,3.09,clear sky
52,Najran,SA,17.4924,44.1277,86.65,11,1,5.88,clear sky
53,Berdigestyakh,RU,62.0989,126.6992,23.85,70,33,1.69,scattered clouds
54,Atuona,PF,-9.8,-139.0333,75.24,78,80,6.42,light rain
55,Bengkulu,ID,-3.8004,102.2655,76.75,90,100,1.16,moderate rain
56,Shihezi,CN,44.3,86.0333,44.42,55,6,3.18,clear sky
57,Moctezuma,MX,29.8,-109.6667,72.1,66,65,0.84,broken clouds
58,Saskylakh,RU,71.9167,114.0833,31.59,97,100,3.54,overcast clouds
59,Hobart,AU,-42.8794,147.3294,45.05,90,8,2.06,clear sky
60,Chuy,UY,-33.6971,-53.4616,64.38,64,24,4.27,few clouds
61,Novomyrhorod,UA,48.7811,31.642,69.15,55,100,1.49,overcast clouds
62,Pochutla,MX,15.7432,-96.4661,84.81,76,7,1.25,clear sky
63,Muros,ES,42.7762,-9.0603,69.1,80,62,2.27,broken clouds
64,Marsh Harbour,BS,26.5412,-77.0636,82.2,69,46,1.62,scattered clouds
65,Mercedes,AR,-34.6515,-59.4307,74.86,30,57,0.86,broken clouds
66,Chapais,CA,49.7834,-74.8492,40.78,67,100,3.89,overcast clouds
67,Luderitz,,-26.6481,15.1594,68.9,57,0,7.78,clear sky
68,Thompson,CA,55.7435,-97.8558,37.56,81,0,1.54,clear sky
69,Severo-Kurilsk,RU,50.6789,156.125,43.59,89,100,4.21,light rain
70,Springfield,US,37.2153,-93.2982,66.9,56,0,3.09,clear sky
71,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,40,3.09,scattered clouds
72,Matagami,CA,49.7502,-77.6328,41.11,75,75,4.63,broken clouds
73,Kampot,KH,10.6167,104.1833,78.85,88,100,2.93,moderate rain
74,Ola,RU,59.5833,151.2833,25.14,61,100,5.04,overcast clouds
75,Tarauaca,BR,-8.1614,-70.7656,87.89,44,26,2.05,scattered clouds
76,Grand Gaube,MU,-20.0064,57.6608,70.38,68,3,1.34,clear sky
77,Alofi,NU,-19.0595,-169.9187,75.31,69,100,7.09,light rain
78,Kodiak,US,57.79,-152.4072,35.11,87,0,2.57,clear sky
79,Yermakovskoye,RU,53.2831,92.4003,32.29,52,100,1.32,overcast clouds
80,Leningradskiy,RU,69.3833,178.4167,27.12,83,100,3.95,overcast clouds
81,Boden,SE,65.8252,21.6886,46.4,76,52,2.62,broken clouds
82,Ancud,CL,-41.8697,-73.8203,52.83,59,12,1.5,few clouds
83,Martapura,ID,-3.4167,114.85,77.09,88,92,0.51,overcast clouds
84,Jamestown,US,42.097,-79.2353,56.52,49,0,7.2,clear sky
