,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bansko,BG,41.8383,23.4885,291.9,100,66,2.15,broken clouds
1,Taoudenni,ML,22.6783,-3.9836,311.22,12,0,5.44,clear sky
2,Cherskiy,RU,68.75,161.3,271.82,98,100,1.09,light snow
3,Kaitangata,NZ,-46.2817,169.8464,275.74,92,11,1.43,few clouds
4,Kapaa,US,22.0752,-159.319,297.14,92,75,2.57,moderate rain
5,Yellowknife,CA,62.456,-114.3525,280.13,100,100,1.79,overcast clouds
6,Itarema,BR,-2.9248,-39.9167,304.7,50,30,8.51,scattered clouds
7,Mahibadhoo,MV,3.7833,72.9667,301.11,76,90,8.47,overcast clouds
8,Khatanga,RU,71.9667,102.5,272.0,97,100,6.76,light snow
9,Nabire,ID,-3.3667,135.4833,297.8,90,86,1.37,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,281.21,53,40,12.35,scattered clouds
11,Bluff,NZ,-46.6,168.3333,278.36,83,34,2.43,scattered clouds
12,Isangel,VU,-19.55,169.2667,297.37,89,23,3.03,few clouds
13,Mataura,NZ,-46.1927,168.8643,273.7,99,10,0.88,clear sky
14,Norman Wells,CA,65.282,-126.8329,280.17,87,100,3.6,overcast clouds
15,Sola,VU,-13.8833,167.55,299.55,78,15,3.7,few clouds
16,Ushuaia,AR,-54.8,-68.3,280.94,61,75,12.86,broken clouds
17,Kayerkan,RU,69.3497,87.7602,271.22,100,100,4.27,overcast clouds
18,Saldanha,ZA,-33.0117,17.9442,289.71,70,100,8.94,overcast clouds
19,Cabo San Lucas,MX,22.8909,-109.9124,302.32,71,40,2.06,scattered clouds
20,Busselton,AU,-33.65,115.3333,286.28,83,38,7.12,scattered clouds
21,Upernavik,GL,72.7868,-56.1549,267.89,79,29,2.4,scattered clouds
22,Mucurapo,TT,10.6667,-61.5333,305.51,62,95,0.45,overcast clouds
23,Struer,DK,56.4912,8.5838,288.21,77,100,4.77,overcast clouds
24,East London,ZA,-33.0153,27.9116,291.67,82,0,3.6,clear sky
25,Provideniya,RU,64.3833,-173.3,276.3,84,84,7.52,broken clouds
26,Hamilton,US,39.1834,-84.5333,290.99,60,0,7.2,clear sky
27,Avarua,CK,-21.2078,-159.775,294.18,68,100,2.06,overcast clouds
28,Kumluca,TR,36.3703,30.2869,303.88,45,0,1.7,clear sky
29,Barrow,US,71.2906,-156.7887,270.16,86,100,6.69,overcast clouds
30,Tornio,FI,65.8481,24.1466,280.16,82,63,2.07,broken clouds
31,Aksarka,RU,66.5606,67.7975,272.59,69,72,5.66,broken clouds
32,Inhambane,MZ,-23.865,35.3833,299.14,78,20,4.12,few clouds
33,Roald,NO,62.5833,6.1333,289.66,82,75,2.06,light rain
34,Huarmey,PE,-10.0681,-78.1522,292.5,74,59,5.02,broken clouds
35,Nanortalik,GL,60.1432,-45.2371,278.16,76,100,3.64,overcast clouds
36,Coahuayana,MX,18.7333,-103.6833,300.53,68,83,0.85,broken clouds
37,Hithadhoo,MV,-0.6,73.0833,300.84,72,96,5.71,overcast clouds
38,Cape Town,ZA,-33.9258,18.4232,293.08,59,0,7.72,clear sky
39,Kruisfontein,ZA,-34.0033,24.7314,291.42,63,50,4.78,scattered clouds
40,Krasnyy Oktyabr,RU,56.1167,38.8833,285.94,98,91,2.13,overcast clouds
41,Pisco,PE,-13.7,-76.2167,292.18,63,0,3.6,clear sky
42,Clyde River,CA,70.4692,-68.5914,273.28,64,0,9.26,clear sky
43,Georgetown,MY,5.4112,100.3354,299.2,87,20,0.0,few clouds
44,Hermanus,ZA,-34.4187,19.2345,293.6,66,100,4.65,overcast clouds
45,Rikitea,PF,-23.1203,-134.9692,296.29,71,68,4.14,broken clouds
46,Bredasdorp,ZA,-34.5322,20.0403,290.64,54,100,5.33,overcast clouds
47,Slave Lake,CA,55.2834,-114.769,281.14,100,100,2.06,fog
48,Frontera,MX,26.9333,-101.45,297.77,43,12,0.56,few clouds
49,New Norfolk,AU,-42.7826,147.0587,280.21,66,9,1.38,clear sky
50,Albany,US,42.6001,-73.9662,285.75,78,100,1.37,overcast clouds
51,Nome,US,64.5011,-165.4064,274.19,75,0,3.09,clear sky
52,Najran,SA,17.4924,44.1277,303.51,11,1,5.88,clear sky
53,Berdigestyakh,RU,62.0989,126.6992,268.62,70,33,1.69,scattered clouds
54,Atuona,PF,-9.8,-139.0333,297.17,78,80,6.42,light rain
55,Bengkulu,ID,-3.8004,102.2655,298.01,90,100,1.16,moderate rain
56,Shihezi,CN,44.3,86.0333,280.05,55,6,3.18,clear sky
57,Moctezuma,MX,29.8,-109.6667,295.43,66,65,0.84,broken clouds
58,Saskylakh,RU,71.9167,114.0833,272.92,97,100,3.54,overcast clouds
59,Hobart,AU,-42.8794,147.3294,280.4,90,8,2.06,clear sky
60,Chuy,UY,-33.6971,-53.4616,291.14,64,24,4.27,few clouds
61,Novomyrhorod,UA,48.7811,31.642,293.79,55,100,1.49,overcast clouds
62,Pochutla,MX,15.7432,-96.4661,302.49,76,7,1.25,clear sky
63,Muros,ES,42.7762,-9.0603,293.76,80,62,2.27,broken clouds
